FIPS,Urban_Rural,County,State,Obesity-2014-Percentage,Overall SVI-2014-Percentile
56039,Urban,Teton County,Wyoming,10.5,0.0793
08117,Urban,Summit County,Colorado,13.8,0.0656
08013,Urban,Boulder County,Colorado,13.9,0.1875
08037,Urban,Eagle County,Colorado,14.2,0.163
08107,Urban,Routt County,Colorado,14.2,0.0385
49043,Urban,Summit County,Utah,14.4,0.0704
08051,Rural,Gunnison County,Colorado,14.5,0.2525
35049,Urban,Santa Fe County,New Mexico,15.1,0.5934
30031,Urban,Gallatin County,Montana,15.2,0.0669
36061,Urban,New York County,New York,15.7,0.5205
51013,Urban,Arlington County,Virginia,15.7,0.1044
08097,Urban,Pitkin County,Colorado,15.9,0.0357
08067,Urban,La Plata County,Colorado,16.1,0.121
06075,Urban,San Francisco County,California,16.6,0.419
41063,Rural,Wallowa County,Oregon,16.9,0.3887
08035,Urban,Douglas County,Colorado,17,0.0188
16013,Urban,Blaine County,Idaho,17,0.2528
08007,Rural,Archuleta County,Colorado,17.1,0.2318
53055,Rural,San Juan County,Washington,17.1,0.1232
35003,Rural,Catron County,New Mexico,17.2,0.4922
08014,Urban,Broomfield County,Colorado,17.5,0.0777
51133,Rural,Northumberland County,Virginia,17.5,0.2493
46107,Rural,Potter County,South Dakota,17.6,0.1353
48363,Urban,Palo Pinto County,Texas,17.6,0.8067
48243,Rural,Jeff Davis County,Texas,17.7,0.4317
06041,Urban,Marin County,California,17.8,0.2833
08031,Urban,Denver County,Colorado,17.8,0.5342
08113,Rural,San Miguel County,Colorado,17.8,0.0637
48071,Urban,Chambers County,Texas,17.8,0.2604
48263,Rural,Kent County,Texas,17.9,0.4164
48425,Urban,Somervell County,Texas,17.9,0.5632
51510,Urban,Alexandria City,Virginia,17.9,0.1573
51735,Urban,Poquoson City,Virginia,17.9,0.0121
48065,Urban,Carson County,Texas,18,0.0984
48151,Rural,Fisher County,Texas,18,0.4244
48191,Rural,Hall County,Texas,18,0.9032
48319,Rural,Mason County,Texas,18,0.1964
48337,Rural,Montague County,Texas,18,0.4862
51101,Urban,King William County,Virginia,18,0.057
35028,Urban,Los Alamos County,New Mexico,18.1,0.0427
48075,Rural,Childress County,Texas,18.1,0.4712
48333,Rural,Mills County,Texas,18.1,0.5294
16015,Urban,Boise County,Idaho,18.2,0.1372
37177,Urban,Tyrrell County,North Carolina,18.2,0.8949
48079,Rural,Cochran County,Texas,18.2,0.9296
48125,Rural,Dickens County,Texas,18.2,0.7208
51091,Rural,Highland County,Virginia,18.2,0.0965
08049,Rural,Grand County,Colorado,18.3,0.0774
48049,Urban,Brown County,Texas,18.3,0.7061
48087,Rural,Collingsworth County,Texas,18.3,0.7459
48115,Urban,Dawson County,Texas,18.3,0.8691
48153,Rural,Floyd County,Texas,18.3,0.8548
48175,Urban,Goliad County,Texas,18.3,0.5629
48269,Rural,King County,Texas,18.3,0.1859
48275,Rural,Knox County,Texas,18.3,0.8758
48293,Rural,Limestone County,Texas,18.3,0.8739
48313,Rural,Madison County,Texas,18.3,0.915
48317,Urban,Martin County,Texas,18.3,0.5024
48327,Rural,Menard County,Texas,18.3,0.8418
48335,Rural,Mitchell County,Texas,18.3,0.6202
48359,Urban,Oldham County,Texas,18.3,0.6886
48377,Rural,Presidio County,Texas,18.3,0.9678
48417,Rural,Shackelford County,Texas,18.3,0.4238
51181,Rural,Surry County,Virginia,18.3,0.4276
51595,Rural,Emporia City,Virginia,18.3,0.9787
51640,Rural,Galax City,Virginia,18.3,0.9799
46073,Rural,Jerauld County,South Dakota,18.4,0.2439
48101,Rural,Cottle County,Texas,18.4,0.5973
48155,Rural,Foard County,Texas,18.4,0.4925
48159,Rural,Franklin County,Texas,18.4,0.447
48169,Rural,Garza County,Texas,18.4,0.4881
48207,Rural,Haskell County,Texas,18.4,0.8507
48229,Urban,Hudspeth County,Texas,18.4,0.9796
48393,Rural,Roberts County,Texas,18.4,0.0019
48429,Rural,Stephens County,Texas,18.4,0.7682
48431,Rural,Sterling County,Texas,18.4,0.5696
48507,Rural,Zavala County,Texas,18.4,0.9962
51530,Rural,Buena Vista City,Virginia,18.4,0.702
08059,Urban,Jefferson County,Colorado,18.5,0.0914
08079,Rural,Mineral County,Colorado,18.5,0.0175
48011,Urban,Armstrong County,Texas,18.5,0.2209
48043,Rural,Brewster County,Texas,18.5,0.4756
48047,Rural,Brooks County,Texas,18.5,0.9997
48069,Rural,Castro County,Texas,18.5,0.6699
48093,Rural,Comanche County,Texas,18.5,0.8039
48095,Rural,Concho County,Texas,18.5,0.4744
48109,Rural,Culberson County,Texas,18.5,0.9685
48129,Rural,Donley County,Texas,18.5,0.5775
48137,Rural,Edwards County,Texas,18.5,0.7345
48163,Rural,Frio County,Texas,18.5,0.9784
48211,Rural,Hemphill County,Texas,18.5,0.4734
48237,Rural,Jack County,Texas,18.5,0.5463
48239,Rural,Jackson County,Texas,18.5,0.674
48257,Urban,Kaufman County,Texas,18.5,0.5883
48283,Rural,La Salle County,Texas,18.5,0.9608
48383,Rural,Reagan County,Texas,18.5,0.5575
48391,Rural,Refugio County,Texas,18.5,0.8933
48413,Rural,Schleicher County,Texas,18.5,0.7657
48475,Rural,Ward County,Texas,18.5,0.8707
48495,Rural,Winkler County,Texas,18.5,0.6625
48501,Rural,Yoakum County,Texas,18.5,0.6256
51600,Urban,Fairfax City,Virginia,18.5,0.2031
32009,Rural,Esmeralda County,Nevada,18.6,0.9054
36095,Urban,Schoharie County,New York,18.6,0.3419
37095,Rural,Hyde County,North Carolina,18.6,0.7428
48033,Rural,Borden County,Texas,18.6,0.0471
48105,Rural,Crockett County,Texas,18.6,0.7383
48119,Rural,Delta County,Texas,18.6,0.6055
48193,Rural,Hamilton County,Texas,18.6,0.4702
48295,Rural,Lipscomb County,Texas,18.6,0.2184
48385,Rural,Real County,Texas,18.6,0.8386
48421,Rural,Sherman County,Texas,18.6,0.625
48433,Rural,Stonewall County,Texas,18.6,0.7431
51580,Rural,Covington City,Virginia,18.6,0.2977
51720,Urban,Norton City,Virginia,18.6,0.5091
08027,Rural,Custer County,Colorado,18.7,0.177
30095,Rural,Stillwater County,Montana,18.7,0.0567
48267,Rural,Kimble County,Texas,18.7,0.5138
48279,Rural,Lamb County,Texas,18.7,0.8876
48301,Rural,Loving County,Texas,18.7,0.2732
48315,Rural,Marion County,Texas,18.7,0.4776
48443,Rural,Terrell County,Texas,18.7,0.4196
48461,Rural,Upton County,Texas,18.7,0.6358
51678,Rural,Lexington City,Virginia,18.7,0.3559
56019,Rural,Johnson County,Wyoming,18.7,0.0433
08069,Urban,Larimer County,Colorado,18.8,0.1388
16081,Urban,Teton County,Idaho,18.8,0.3709
36041,Rural,Hamilton County,New York,18.8,0.0544
37175,Urban,Transylvania County,North Carolina,18.8,0.3219
48025,Urban,Bee County,Texas,18.8,0.9331
48127,Rural,Dimmit County,Texas,18.8,0.9583
48161,Rural,Freestone County,Texas,18.8,0.7896
48247,Rural,Jim Hogg County,Texas,18.8,0.9217
48261,Urban,Kenedy County,Texas,18.8,0.6628
48299,Rural,Llano County,Texas,18.8,0.3289
48435,Rural,Sutton County,Texas,18.8,0.453
48455,Urban,Trinity County,Texas,18.8,0.6609
48489,Urban,Willacy County,Texas,18.8,0.9933
48503,Rural,Young County,Texas,18.8,0.5858
08065,Rural,Lake County,Colorado,18.9,0.362
46021,Rural,Campbell County,South Dakota,18.9,0.0532
47137,Rural,Pickett County,Tennessee,18.9,0.3722
48103,Rural,Crane County,Texas,18.9,0.7119
48173,Urban,Glasscock County,Texas,18.9,0.0981
48197,Rural,Hardeman County,Texas,18.9,0.879
48235,Urban,Irion County,Texas,18.9,0.0933
