"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",128.6,"94 - 208 (643)"
02016,"""Aleutians West, (AK)""",105.7,"94 - 208 (643)"
02020,"""Anchorage, (AK)""",193.9,"94 - 208 (643)"
02050,"""Bethel, (AK)""",272.9,"260 - 294 (640)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",232.1,"208 - 233 (637)"
02070,"""Dillingham, (AK)""",290.8,"260 - 294 (640)"
02090,"""Fairbanks North Star, (AK)""",216.1,"208 - 233 (637)"
02100,"""Haines, (AK)""",180.2,"94 - 208 (643)"
02110,"""Juneau, (AK)""",179.5,"94 - 208 (643)"
02122,"""Kenai Peninsula, (AK)""",205,"94 - 208 (643)"
02130,"""Ketchikan Gateway, (AK)""",209.6,"208 - 233 (637)"
02150,"""Kodiak Island, (AK)""",220.8,"208 - 233 (637)"
02164,"""Lake and Peninsula, (AK)""",250.7,"233 - 260 (639)"
02170,"""Matanuska-Susitna, (AK)""",185.3,"94 - 208 (643)"
02180,"""Nome, (AK)""",419,"294 - 546 (639)"
02185,"""North Slope, (AK)""",260,"260 - 294 (640)"
02188,"""Northwest Arctic, (AK)""",252.7,"233 - 260 (639)"
02220,"""Sitka, (AK)""",170.1,"94 - 208 (643)"
02240,"""Southeast Fairbanks, (AK)""",239.2,"233 - 260 (639)"
02261,"""Valdez-Cordova, (AK)""",214.3,"208 - 233 (637)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",253,"233 - 260 (639)"
06001,"""Alameda, (CA)""",191.8,"94 - 208 (643)"
06005,"""Amador, (CA)""",225.5,"208 - 233 (637)"
06007,"""Butte, (CA)""",232.3,"208 - 233 (637)"
06009,"""Calaveras, (CA)""",233.2,"233 - 260 (639)"
06011,"""Colusa, (CA)""",208.2,"208 - 233 (637)"
06013,"""Contra Costa, (CA)""",188.6,"94 - 208 (643)"
06015,"""Del Norte, (CA)""",257.1,"233 - 260 (639)"
06017,"""El Dorado, (CA)""",189.4,"94 - 208 (643)"
06021,"""Glenn, (CA)""",221.2,"208 - 233 (637)"
06023,"""Humboldt, (CA)""",224.3,"208 - 233 (637)"
06031,"""Kings, (CA)""",254.6,"233 - 260 (639)"
06033,"""Lake, (CA)""",253.3,"233 - 260 (639)"
06035,"""Lassen, (CA)""",265.4,"260 - 294 (640)"
06041,"""Marin, (CA)""",144.5,"94 - 208 (643)"
06043,"""Mariposa, (CA)""",220.7,"208 - 233 (637)"
06045,"""Mendocino, (CA)""",223.6,"208 - 233 (637)"
06047,"""Merced, (CA)""",238.1,"233 - 260 (639)"
06049,"""Modoc, (CA)""",259.3,"233 - 260 (639)"
06053,"""Monterey, (CA)""",183,"94 - 208 (643)"
06055,"""Napa, (CA)""",207.2,"94 - 208 (643)"
06057,"""Nevada, (CA)""",174.7,"94 - 208 (643)"
06061,"""Placer, (CA)""",201.7,"94 - 208 (643)"
06063,"""Plumas, (CA)""",249.8,"233 - 260 (639)"
06067,"""Sacramento, (CA)""",232.1,"208 - 233 (637)"
06069,"""San Benito, (CA)""",188.9,"94 - 208 (643)"
06075,"""San Francisco, (CA)""",177.4,"94 - 208 (643)"
06077,"""San Joaquin, (CA)""",245.4,"233 - 260 (639)"
06079,"""San Luis Obispo, (CA)""",214.8,"208 - 233 (637)"
06081,"""San Mateo, (CA)""",174.7,"94 - 208 (643)"
06083,"""Santa Barbara, (CA)""",202.3,"94 - 208 (643)"
06085,"""Santa Clara, (CA)""",164,"94 - 208 (643)"
06087,"""Santa Cruz, (CA)""",196.1,"94 - 208 (643)"
06089,"""Shasta, (CA)""",248.3,"233 - 260 (639)"
06091,"""Sierra, (CA)""",256.6,"233 - 260 (639)"
06093,"""Siskiyou, (CA)""",239.5,"233 - 260 (639)"
06095,"""Solano, (CA)""",201.9,"94 - 208 (643)"
06097,"""Sonoma, (CA)""",207.5,"94 - 208 (643)"
06099,"""Stanislaus, (CA)""",280,"260 - 294 (640)"
06101,"""Sutter, (CA)""",247.3,"233 - 260 (639)"
06103,"""Tehama, (CA)""",229.9,"208 - 233 (637)"
06105,"""Trinity, (CA)""",234.5,"233 - 260 (639)"
06109,"""Tuolumne, (CA)""",215.9,"208 - 233 (637)"
06113,"""Yolo, (CA)""",192.8,"94 - 208 (643)"
06115,"""Yuba, (CA)""",275.3,"260 - 294 (640)"
15001,"""Hawaii, (HI)""",192.7,"94 - 208 (643)"
15003,"""Honolulu, (HI)""",185.9,"94 - 208 (643)"
15005,"""Kalawao, (HI)""",179.1,"94 - 208 (643)"
15007,"""Kauai, (HI)""",188.5,"94 - 208 (643)"
15009,"""Maui, (HI)""",184.7,"94 - 208 (643)"
41003,"""Benton, (OR)""",182.3,"94 - 208 (643)"
41005,"""Clackamas, (OR)""",184.8,"94 - 208 (643)"
41007,"""Clatsop, (OR)""",216.8,"208 - 233 (637)"
41009,"""Columbia, (OR)""",214.2,"208 - 233 (637)"
41011,"""Coos, (OR)""",229.2,"208 - 233 (637)"
41013,"""Crook, (OR)""",208.2,"208 - 233 (637)"
41015,"""Curry, (OR)""",230.9,"208 - 233 (637)"
41017,"""Deschutes, (OR)""",184.4,"94 - 208 (643)"
41019,"""Douglas, (OR)""",220.7,"208 - 233 (637)"
41021,"""Gilliam, (OR)""",212.2,"208 - 233 (637)"
41027,"""Hood River, (OR)""",195.3,"94 - 208 (643)"
41029,"""Jackson, (OR)""",199.9,"94 - 208 (643)"
41031,"""Jefferson, (OR)""",196.6,"94 - 208 (643)"
41033,"""Josephine, (OR)""",222.2,"208 - 233 (637)"
41035,"""Klamath, (OR)""",207.2,"94 - 208 (643)"
41037,"""Lake, (OR)""",225.2,"208 - 233 (637)"
41039,"""Lane, (OR)""",179.1,"94 - 208 (643)"
41041,"""Lincoln, (OR)""",203.1,"94 - 208 (643)"
41043,"""Linn, (OR)""",234.3,"233 - 260 (639)"
41047,"""Marion, (OR)""",201.6,"94 - 208 (643)"
41051,"""Multnomah, (OR)""",200.2,"94 - 208 (643)"
41053,"""Polk, (OR)""",185.7,"94 - 208 (643)"
41055,"""Sherman, (OR)""",214.9,"208 - 233 (637)"
41057,"""Tillamook, (OR)""",198.7,"94 - 208 (643)"
41065,"""Wasco, (OR)""",203,"94 - 208 (643)"
41067,"""Washington, (OR)""",164.6,"94 - 208 (643)"
41069,"""Wheeler, (OR)""",212.7,"208 - 233 (637)"
41071,"""Yamhill, (OR)""",192.7,"94 - 208 (643)"
53007,"""Chelan, (WA)""",187.9,"94 - 208 (643)"
53009,"""Clallam, (WA)""",192.7,"94 - 208 (643)"
53011,"""Clark, (WA)""",199,"94 - 208 (643)"
53015,"""Cowlitz, (WA)""",219.6,"208 - 233 (637)"
53027,"""Grays Harbor, (WA)""",247.3,"233 - 260 (639)"
53029,"""Island, (WA)""",193.3,"94 - 208 (643)"
53031,"""Jefferson, (WA)""",185.5,"94 - 208 (643)"
53033,"""King, (WA)""",179.1,"94 - 208 (643)"
53035,"""Kitsap, (WA)""",195.8,"94 - 208 (643)"
53037,"""Kittitas, (WA)""",205.6,"94 - 208 (643)"
53039,"""Klickitat, (WA)""",214,"208 - 233 (637)"
53041,"""Lewis, (WA)""",241.5,"233 - 260 (639)"
53045,"""Mason, (WA)""",222.8,"208 - 233 (637)"
53047,"""Okanogan, (WA)""",212.4,"208 - 233 (637)"
53049,"""Pacific, (WA)""",249.3,"233 - 260 (639)"
53053,"""Pierce, (WA)""",236,"233 - 260 (639)"
53055,"""San Juan, (WA)""",171.7,"94 - 208 (643)"
53057,"""Skagit, (WA)""",193.2,"94 - 208 (643)"
53059,"""Skamania, (WA)""",201.9,"94 - 208 (643)"
53061,"""Snohomish, (WA)""",198.7,"94 - 208 (643)"
53067,"""Thurston, (WA)""",193.6,"94 - 208 (643)"
53069,"""Wahkiakum, (WA)""",231.2,"208 - 233 (637)"
53073,"""Whatcom, (WA)""",185.3,"94 - 208 (643)"
53077,"""Yakima, (WA)""",260.2,"260 - 294 (640)"
04001,"""Apache, (AZ)""",181.5,"94 - 208 (643)"
04003,"""Cochise, (AZ)""",237.5,"233 - 260 (639)"
04005,"""Coconino, (AZ)""",189.5,"94 - 208 (643)"
04007,"""Gila, (AZ)""",205.8,"94 - 208 (643)"
04009,"""Graham, (AZ)""",217.1,"208 - 233 (637)"
04011,"""Greenlee, (AZ)""",195.8,"94 - 208 (643)"
04012,"""La Paz, (AZ)""",222.3,"208 - 233 (637)"
04013,"""Maricopa, (AZ)""",191.2,"94 - 208 (643)"
04015,"""Mohave, (AZ)""",282,"260 - 294 (640)"
04017,"""Navajo, (AZ)""",203,"94 - 208 (643)"
04019,"""Pima, (AZ)""",201.2,"94 - 208 (643)"
04021,"""Pinal, (AZ)""",183.6,"94 - 208 (643)"
04023,"""Santa Cruz, (AZ)""",170.2,"94 - 208 (643)"
04025,"""Yavapai, (AZ)""",194.5,"94 - 208 (643)"
04027,"""Yuma, (AZ)""",186.9,"94 - 208 (643)"
06003,"""Alpine, (CA)""",185.9,"94 - 208 (643)"
06019,"""Fresno, (CA)""",251.6,"233 - 260 (639)"
06025,"""Imperial, (CA)""",216.5,"208 - 233 (637)"
06027,"""Inyo, (CA)""",269.1,"260 - 294 (640)"
06029,"""Kern, (CA)""",290,"260 - 294 (640)"
06037,"""Los Angeles, (CA)""",228,"208 - 233 (637)"
06039,"""Madera, (CA)""",251.5,"233 - 260 (639)"
06051,"""Mono, (CA)""",192.2,"94 - 208 (643)"
06059,"""Orange, (CA)""",199.6,"94 - 208 (643)"
06065,"""Riverside, (CA)""",241,"233 - 260 (639)"
06071,"""San Bernardino, (CA)""",278.3,"260 - 294 (640)"
06073,"""San Diego, (CA)""",200.4,"94 - 208 (643)"
06107,"""Tulare, (CA)""",279.8,"260 - 294 (640)"
06111,"""Ventura, (CA)""",201.2,"94 - 208 (643)"
08007,"""Archuleta, (CO)""",172.7,"94 - 208 (643)"
08029,"""Delta, (CO)""",210.7,"208 - 233 (637)"
08033,"""Dolores, (CO)""",170.6,"94 - 208 (643)"
08045,"""Garfield, (CO)""",163.1,"94 - 208 (643)"
08051,"""Gunnison, (CO)""",172.6,"94 - 208 (643)"
08053,"""Hinsdale, (CO)""",161.7,"94 - 208 (643)"
08067,"""La Plata, (CO)""",170.1,"94 - 208 (643)"
08077,"""Mesa, (CO)""",215.2,"208 - 233 (637)"
08079,"""Mineral, (CO)""",190.4,"94 - 208 (643)"
08081,"""Moffat, (CO)""",183.6,"94 - 208 (643)"
08083,"""Montezuma, (CO)""",188.5,"94 - 208 (643)"
08085,"""Montrose, (CO)""",199.1,"94 - 208 (643)"
08091,"""Ouray, (CO)""",170.8,"94 - 208 (643)"
08097,"""Pitkin, (CO)""",93.7,"94 - 208 (643)"
08103,"""Rio Blanco, (CO)""",150.3,"94 - 208 (643)"
08107,"""Routt, (CO)""",136.3,"94 - 208 (643)"
08111,"""San Juan, (CO)""",179.5,"94 - 208 (643)"
08113,"""San Miguel, (CO)""",169.1,"94 - 208 (643)"
