cnty_fips,display_name,Value,theme_range
02013,"""Aleutians East, (AK)""",55.7,56 - 197 (640)
02016,"""Aleutians West, (AK)""",91,56 - 197 (640)
02020,"""Anchorage, (AK)""",178.8,56 - 197 (640)
02050,"""Bethel, (AK)""",259.2,248 - 284 (636)
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",204.1,197 - 222 (641)
02070,"""Dillingham, (AK)""",297.9,284 - 621 (639)
02090,"""Fairbanks North Star, (AK)""",202.6,197 - 222 (641)
02100,"""Haines, (AK)""",207.3,197 - 222 (641)
02110,"""Juneau, (AK)""",207.3,197 - 222 (641)
02122,"""Kenai Peninsula, (AK)""",215.1,197 - 222 (641)
02130,"""Ketchikan Gateway, (AK)""",214.2,197 - 222 (641)
02150,"""Kodiak Island, (AK)""",144.7,56 - 197 (640)
02164,"""Lake and Peninsula, (AK)""",352.3,284 - 621 (639)
02170,"""Matanuska-Susitna, (AK)""",183.8,56 - 197 (640)
02180,"""Nome, (AK)""",258.5,248 - 284 (636)
02185,"""North Slope, (AK)""",263,248 - 284 (636)
02188,"""Northwest Arctic, (AK)""",262.9,248 - 284 (636)
02220,"""Sitka, (AK)""",221.9,222 - 247 (643)
02240,"""Southeast Fairbanks, (AK)""",194.1,56 - 197 (640)
02261,"""Valdez-Cordova, (AK)""",188.7,56 - 197 (640)
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",194.7,56 - 197 (640)
06001,"""Alameda, (CA)""",168.4,56 - 197 (640)
06005,"""Amador, (CA)""",212.7,197 - 222 (641)
06007,"""Butte, (CA)""",231.6,222 - 247 (643)
06009,"""Calaveras, (CA)""",226.6,222 - 247 (643)
06011,"""Colusa, (CA)""",208.5,197 - 222 (641)
06013,"""Contra Costa, (CA)""",173.3,56 - 197 (640)
06015,"""Del Norte, (CA)""",239.8,222 - 247 (643)
06017,"""El Dorado, (CA)""",180,56 - 197 (640)
06021,"""Glenn, (CA)""",233.6,222 - 247 (643)
06023,"""Humboldt, (CA)""",251.7,248 - 284 (636)
06031,"""Kings, (CA)""",204.4,197 - 222 (641)
06033,"""Lake, (CA)""",250.1,248 - 284 (636)
06035,"""Lassen, (CA)""",240.3,222 - 247 (643)
06041,"""Marin, (CA)""",134.2,56 - 197 (640)
06043,"""Mariposa, (CA)""",233.3,222 - 247 (643)
06045,"""Mendocino, (CA)""",213.6,197 - 222 (641)
06047,"""Merced, (CA)""",235.8,222 - 247 (643)
06049,"""Modoc, (CA)""",243.9,222 - 247 (643)
06053,"""Monterey, (CA)""",156.7,56 - 197 (640)
06055,"""Napa, (CA)""",182.8,56 - 197 (640)
06057,"""Nevada, (CA)""",170.1,56 - 197 (640)
06061,"""Placer, (CA)""",170.3,56 - 197 (640)
06063,"""Plumas, (CA)""",223.2,222 - 247 (643)
